2025-04-07 14:40:59 - Starting HTML content embedding generation process
2025-04-07 14:41:46 - Updated embedding for job ID: 35512
2025-04-07 14:41:46 - Updated embedding for job ID: 35513
2025-04-07 14:41:47 - Updated embedding for job ID: 35514
2025-04-07 14:41:47 - Updated embedding for job ID: 35515
2025-04-07 14:41:48 - Updated embedding for job ID: 35516
2025-04-07 14:41:49 - Updated embedding for job ID: 35517
2025-04-07 14:41:49 - Updated embedding for job ID: 35518
2025-04-07 14:41:49 - Updated embedding for job ID: 35519
2025-04-07 14:41:50 - Updated embedding for job ID: 35520
2025-04-07 14:41:50 - Updated embedding for job ID: 35521
2025-04-07 14:41:51 - Updated embedding for job ID: 35522
2025-04-07 14:41:51 - Updated embedding for job ID: 35523
2025-04-07 14:41:52 - Updated embedding for job ID: 35524
2025-04-07 14:41:52 - Updated embedding for job ID: 35525
2025-04-07 14:41:52 - Updated embedding for job ID: 35526
2025-04-07 14:41:53 - Updated embedding for job ID: 35527
2025-04-07 14:41:53 - Updated embedding for job ID: 35528
2025-04-07 14:41:54 - Updated embedding for job ID: 35529
2025-04-07 14:41:54 - Updated embedding for job ID: 35530
2025-04-07 14:41:55 - Updated embedding for job ID: 35531
2025-04-07 14:41:55 - Updated embedding for job ID: 35532
2025-04-07 14:41:56 - Updated embedding for job ID: 35533
2025-04-07 14:41:56 - Updated embedding for job ID: 35534
2025-04-07 14:41:56 - Updated embedding for job ID: 35535
2025-04-07 14:41:57 - Updated embedding for job ID: 35536
2025-04-07 14:41:57 - Updated embedding for job ID: 35537
2025-04-07 14:41:58 - Updated embedding for job ID: 35539
2025-04-07 14:41:58 - Updated embedding for job ID: 35540
2025-04-07 14:42:31 - Updated embedding for job ID: 35541
2025-04-07 14:43:15 - Updated embedding for job ID: 35542
2025-04-07 14:43:16 - Updated embedding for job ID: 35543
2025-04-07 14:43:17 - Updated embedding for job ID: 35544
2025-04-07 14:43:18 - Updated embedding for job ID: 35545
2025-04-07 14:43:18 - Updated embedding for job ID: 35546
2025-04-07 14:43:19 - Updated embedding for job ID: 35547
2025-04-07 14:43:19 - Updated embedding for job ID: 35548
2025-04-07 14:43:20 - Updated embedding for job ID: 35549
2025-04-07 14:43:21 - Updated embedding for job ID: 35550
2025-04-07 14:43:22 - Updated embedding for job ID: 35551
2025-04-07 14:43:23 - Updated embedding for job ID: 35552
2025-04-07 14:43:23 - Updated embedding for job ID: 35553
2025-04-07 14:43:24 - Updated embedding for job ID: 35554
2025-04-07 14:43:25 - Updated embedding for job ID: 35555
2025-04-07 14:43:26 - Updated embedding for job ID: 35556
2025-04-07 14:43:27 - Updated embedding for job ID: 35557
2025-04-07 14:43:28 - Updated embedding for job ID: 35558
2025-04-07 14:43:29 - Updated embedding for job ID: 35559
2025-04-07 14:43:30 - Updated embedding for job ID: 35560
2025-04-07 14:43:30 - Updated embedding for job ID: 35561
2025-04-07 14:43:30 - Progress: 150/250 jobs processed
2025-04-07 14:43:31 - Updated embedding for job ID: 35562
2025-04-07 14:43:31 - Updated embedding for job ID: 35563
2025-04-07 14:43:32 - Updated embedding for job ID: 35564
2025-04-07 14:43:32 - Updated embedding for job ID: 35565
2025-04-07 14:43:32 - Updated embedding for job ID: 35566
2025-04-07 14:43:32 - Updated embedding for job ID: 35567
2025-04-07 14:43:33 - Updated embedding for job ID: 35569
